sex,age,education,trust_church,trust_armed,trust_press,trust_tv,trust_union,trust_police,trust_courts,trust_gov,trust_parties,trust_parliament,trust_civil,trust_univ,trust_elections,trust_companies,trust_banks
female,29.0,6.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
female,51.0,6.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,,3.0
female,38.0,3.0,1.0,,3.0,3.0,3.0,3.0,,,,2.0,2.0,2.0,1.0,2.0,2.0
male,28.0,5.0,,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,,1.0,2.0,3.0
female,36.0,6.0,1.0,,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,,2.0,2.0
male,21.0,6.0,,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0
female,52.0,3.0,,3.0,,,,3.0,,,,,,,,,3.0
male,26.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0
female,55.0,5.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0
female,38.0,5.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0
female,83.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0
female,67.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
male,26.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
male,52.0,6.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0
male,46.0,3.0,1.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
female,44.0,2.0,,,3.0,3.0,,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
female,43.0,5.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
male,45.0,5.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0
female,59.0,5.0,1.0,,2.0,2.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,,
male,36.0,6.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
female,26.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0
male,56.0,4.0,1.0,,,,,,,2.0,2.0,2.0,2.0,,2.0,,
female,66.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
female,61.0,6.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0
female,74.0,3.0,2.0,3.0,3.0,3.0,,,,2.0,2.0,2.0,2.0,,3.0,,
female,69.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0
female,74.0,2.0,2.0,3.0,3.0,3.0,,3.0,,2.0,1.0,2.0,2.0,,2.0,,3.0
male,74.0,6.0,2.0,2.0,3.0,2.0,3.0,3.0,,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0
male,48.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
female,87.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
male,58.0,3.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0
male,58.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0
female,48.0,5.0,1.0,3.0,2.0,2.0,,3.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0
female,32.0,5.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0
female,65.0,6.0,2.0,2.0,2.0,2.0,,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,,
female,42.0,6.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0
male,54.0,5.0,2.0,4.0,4.0,3.0,,4.0,4.0,3.0,1.0,4.0,4.0,4.0,4.0,3.0,3.0
female,33.0,6.0,,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0
male,36.0,6.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0
female,67.0,3.0,1.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0
female,43.0,3.0,2.0,2.0,3.0,3.0,,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0
male,39.0,5.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0
male,20.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0
female,55.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0
female,45.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0
female,74.0,3.0,2.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
male,58.0,6.0,1.0,,3.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
male,58.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
male,39.0,3.0,1.0,3.0,3.0,3.0,,3.0,3.0,1.0,1.0,1.0,1.0,,1.0,,
female,55.0,6.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0
female,42.0,5.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0
male,67.0,5.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0
female,84.0,3.0,2.0,3.0,3.0,3.0,,3.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0
female,55.0,6.0,,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0
female,81.0,3.0,1.0,3.0,2.0,3.0,,2.0,2.0,1.0,1.0,1.0,2.0,,1.0,1.0,2.0
female,76.0,3.0,,4.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
female,49.0,6.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0
female,73.0,3.0,2.0,3.0,3.0,3.0,,3.0,,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0
male,21.0,6.0,2.0,3.0,3.0,3.0,,,,2.0,2.0,2.0,2.0,,2.0,2.0,2.0
female,72.0,6.0,2.0,,3.0,2.0,,3.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0
female,44.0,3.0,1.0,2.0,3.0,3.0,,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0
female,46.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0
female,64.0,5.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,,3.0
female,82.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0
female,20.0,4.0,,4.0,2.0,2.0,1.0,2.0,,,,,,,,,4.0
female,71.0,5.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0
female,62.0,6.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0
male,33.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
male,28.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0
male,69.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
male,48.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0
male,46.0,6.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,,2.0
male,58.0,6.0,1.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0
male,59.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0
female,33.0,5.0,1.0,3.0,3.0,2.0,2.0,2.0,,2.0,2.0,2.0,,,2.0,2.0,2.0
female,47.0,5.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0
male,64.0,7.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0
female,58.0,5.0,2.0,3.0,3.0,3.0,,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
male,52.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
male,64.0,6.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
male,56.0,6.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
male,63.0,5.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,,,3.0,3.0,3.0,3.0,3.0
male,81.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0
female,40.0,5.0,1.0,3.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,,,,3.0
male,42.0,6.0,1.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0
female,74.0,5.0,2.0,4.0,3.0,3.0,,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
male,42.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
female,22.0,6.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0
male,62.0,6.0,1.0,4.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0
male,21.0,6.0,,3.0,2.0,2.0,2.0,3.0,3.0,3.0,,,,2.0,2.0,2.0,3.0
female,35.0,6.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0
female,41.0,6.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0
male,35.0,5.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
female,42.0,4.0,1.0,3.0,3.0,3.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0
female,76.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
female,34.0,5.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0
female,67.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,4.0,2.0,4.0,3.0
female,55.0,3.0,,,2.0,2.0,,2.0,,,,,,,,,
male,45.0,5.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0
female,62.0,3.0,2.0,3.0,3.0,3.0,,3.0,3.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0
female,72.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
female,81.0,5.0,1.0,3.0,3.0,3.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
female,55.0,3.0,,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,3.0
female,22.0,6.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0
male,61.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0
female,61.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0
male,31.0,5.0,1.0,3.0,,3.0,3.0,3.0,3.0,,,,3.0,,,3.0,3.0
male,70.0,6.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0
female,38.0,3.0,1.0,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
female,76.0,3.0,2.0,4.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0
female,41.0,5.0,,,,2.0,,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0
female,55.0,3.0,1.0,2.0,2.0,2.0,,3.0,3.0,2.0,2.0,2.0,,2.0,3.0,2.0,3.0
female,65.0,6.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
female,58.0,3.0,,3.0,3.0,3.0,,,3.0,,,,3.0,,,3.0,3.0
female,19.0,3.0,2.0,3.0,3.0,3.0,,3.0,3.0,,,,,3.0,,3.0,3.0
female,65.0,5.0,3.0,4.0,3.0,3.0,,4.0,3.0,2.0,,2.0,3.0,3.0,2.0,2.0,2.0
male,70.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0
female,33.0,5.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,,3.0,1.0,3.0,3.0
male,61.0,6.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
female,59.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0
female,42.0,5.0,1.0,,3.0,3.0,,2.0,,,,,,3.0,,,3.0
male,37.0,6.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0
female,71.0,5.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0
female,26.0,8.0,,3.0,3.0,3.0,,3.0,3.0,2.0,2.0,2.0,2.0,,2.0,,2.0
male,79.0,2.0,2.0,,3.0,3.0,,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0
female,22.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0
male,35.0,6.0,1.0,3.0,3.0,3.0,,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0
female,29.0,3.0,,4.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0
male,33.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
female,48.0,3.0,1.0,4.0,3.0,3.0,,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
female,58.0,3.0,2.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0
male,28.0,6.0,1.0,2.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0
male,63.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
female,42.0,5.0,1.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0
female,48.0,5.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
female,77.0,3.0,1.0,1.0,3.0,3.0,,3.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
female,52.0,3.0,2.0,,3.0,3.0,,3.0,,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0
female,44.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
female,23.0,3.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
female,34.0,5.0,1.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,2.0,3.0
female,72.0,3.0,,3.0,3.0,3.0,,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0
female,45.0,6.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
female,64.0,3.0,1.0,4.0,3.0,3.0,,3.0,,1.0,1.0,1.0,2.0,2.0,3.0,,3.0
female,53.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0
male,64.0,6.0,,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0
male,54.0,3.0,,3.0,3.0,3.0,,3.0,3.0,2.0,,,3.0,,2.0,2.0,2.0
female,49.0,5.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0
female,70.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
female,32.0,5.0,1.0,4.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
male,50.0,3.0,,3.0,3.0,3.0,,3.0,3.0,3.0,,,3.0,3.0,,,3.0
male,53.0,,1.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0
female,76.0,6.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,
male,82.0,3.0,2.0,2.0,3.0,3.0,,2.0,3.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0
male,34.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
male,54.0,6.0,1.0,,3.0,3.0,3.0,,3.0,2.0,2.0,2.0,2.0,2.0,,,
male,46.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0
female,27.0,6.0,1.0,3.0,2.0,2.0,,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0
female,39.0,5.0,1.0,,2.0,,,3.0,3.0,2.0,2.0,2.0,,,,,3.0
male,35.0,3.0,2.0,4.0,3.0,3.0,,4.0,4.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0
male,57.0,6.0,1.0,3.0,3.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0
male,44.0,2.0,1.0,4.0,3.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0
female,50.0,5.0,3.0,3.0,2.0,2.0,,,,2.0,2.0,2.0,2.0,,2.0,,
male,20.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
female,42.0,5.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0
female,44.0,5.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0
female,40.0,6.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0
female,24.0,5.0,1.0,4.0,4.0,4.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0
male,46.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0
male,33.0,6.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
male,52.0,5.0,1.0,4.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0
male,27.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
female,40.0,4.0,1.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0
male,80.0,2.0,,3.0,,2.0,,3.0,3.0,2.0,2.0,2.0,3.0,,2.0,2.0,2.0
female,31.0,2.0,1.0,4.0,2.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,,1.0,3.0,4.0
male,56.0,6.0,2.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0
female,80.0,5.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,,,3.0,,3.0
female,76.0,5.0,1.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
male,72.0,6.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0
female,36.0,4.0,1.0,3.0,3.0,3.0,,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
female,68.0,3.0,1.0,4.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,,3.0
female,74.0,0.0,,3.0,3.0,3.0,,3.0,3.0,,,,3.0,,,,3.0
male,80.0,4.0,1.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,,,,4.0,4.0,3.0,4.0
female,33.0,7.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
female,46.0,5.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,
female,78.0,5.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0
female,25.0,6.0,1.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0
male,63.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
female,80.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
male,69.0,6.0,2.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,,4.0,3.0,3.0
male,32.0,2.0,1.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
female,61.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
female,60.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0
female,63.0,3.0,1.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0
female,60.0,3.0,,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0
female,67.0,3.0,1.0,3.0,3.0,3.0,,3.0,,2.0,2.0,2.0,2.0,2.0,2.0,,2.0
female,42.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0
male,66.0,6.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
female,61.0,4.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,,,3.0,,,
male,50.0,3.0,1.0,,2.0,,3.0,,,,,,,,,,
female,35.0,6.0,2.0,4.0,2.0,3.0,,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0
female,58.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0
male,47.0,4.0,1.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0
male,81.0,3.0,1.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0
male,57.0,4.0,2.0,3.0,3.0,3.0,,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0
female,77.0,1.0,3.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0
female,50.0,3.0,2.0,,3.0,3.0,,2.0,,2.0,,,2.0,,2.0,,3.0
male,53.0,5.0,,4.0,1.0,1.0,,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,,
male,50.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
male,45.0,6.0,1.0,3.0,,,,3.0,3.0,2.0,2.0,2.0,2.0,,1.0,,3.0
male,69.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
male,57.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
